Site and visit,Major Vegetation Group,Latitude,Longitude,Precipitation Seasonality,MAP,MAT,Mean Maximum Temperature Warmest Month,PerSoilP,PerSoilN,Soil Depth,perSoil WHC ,perSand,Topographic relief,Species richness_vouchers,Species richness_intercepts,Pareto alpha,Lognorm sigma,Delta AIC,Simpson,Shannon
NSABHC0011-53606,"Chenopod Shrublands, Samphire Shrublands and Forblands",-31.02531611,141.6780775,20,233,18.5,33.8,0.026,0.051,0.9,12.4,63.1,33.3,64,27,0.622702846,-0.716485311,-15.98523473,0.872177329,2.48055169
NSABHC0012-53607,Tussock Grasslands,-31.07956667,141.7411103,21,223,18.8,34.1,0.034,0.053,1,12.3,54.2,15.8,88,41,0.866053999,-1.167725308,-45.26061651,0.914376247,2.845602431
NSABHC0013-53608,"Chenopod Shrublands, Samphire Shrublands and Forblands",-31.32391889,141.6008031,18,237,18.1,33.4,0.029,0.044,0.9,12.7,67.5,24.8,66,26,0.889972054,-1.190882876,-28.03895563,0.771284798,2.132211319
NSABHC0014-53609,"Chenopod Shrublands, Samphire Shrublands and Forblands",-31.33115333,141.5914625,17,241,18,33.2,0.023,0.042,0.9,11.8,73.9,74.4,81,22,0.69621733,-0.886054615,-20.55418864,0.852520638,2.249190817
NSABHC0015-57104,"Chenopod Shrublands, Samphire Shrublands and Forblands",-31.445,141.3244,19,211,18.4,33.6,0.028,0.043,1,13.3,61.6,11.2,59,27,0.659040182,-0.79517726,-20.82102818,0.732718674,1.96951413
NSABHC0016-57105,"Chenopod Shrublands, Samphire Shrublands and Forblands",-31.83403472,141.0614425,18,217,18.2,33.4,0.03,0.041,0.9,13.2,64.2,6.2,41,14,0.66959886,-0.819103968,-6.181125996,0.868760331,2.208506432
NSABHC0017-57106,"Chenopod Shrublands, Samphire Shrublands and Forblands",-31.84330972,141.1926289,17,231,17.9,33,0.035,0.048,0.9,11.4,67.6,57,43,19,0.838198461,-1.119500549,-18.07232379,0.494260204,1.367981624
NSABHC0018-57077,"Chenopod Shrublands, Samphire Shrublands and Forblands",-33.0930556,141.5496556,11,254,17.8,33.2,0.019,0.058,1,14.1,73.9,16.3,33,14,0.624529125,-0.711329068,-14.0387375,0.699167658,1.602542687
NSABHC0019-57078,"Chenopod Shrublands, Samphire Shrublands and Forblands",-33.1969444,141.5496556,10,248,17.9,33.4,0.024,0.068,1,15.2,69.5,32.2,29,19,0.68374898,-0.850010392,-21.17991111,0.630603556,1.585967379
NSABHC0020-57599,"Chenopod Shrublands, Samphire Shrublands and Forblands",-33.0413889,141.5006833,12,245,17.9,33.3,0.018,0.061,1,15.1,79.7,15.7,69,22,0.742464728,-0.965670128,-25.11694909,0.766258503,1.9234931
NSABHC0021-57098,Tussock Grasslands,-32.4769444,141.868275,15,240,18.3,33.5,0.033,0.049,1,14.9,62.8,4.7,71,33,0.886717203,-1.184780155,-25.08080214,0.801339286,2.479632397
NSABHC0025-57101,Tussock Grasslands,-32.420531,141.535447,16,241,18,33.1,0.032,0.047,1,14.6,54.2,5.7,63,23,0.996085471,-1.308605491,-31.48841182,0.603885378,1.591014215
NSABHC0026-57102,Acacia shrublands,-32.1525,142.2536111,18,245,18.5,33.8,0.031,0.054,1.1,14.4,67.4,6.5,102,47,1.103669517,-1.406467081,-64.97132188,0.880658529,2.800949131
NSAMDD0001-56965,"Cleared, non-native vegetation, buildings",-34.18391944,142.560225,13,317,17,32.5,0.026,0.078,0.9,11.4,66.9,14,26,16,0.536454962,-0.448446038,-11.87136922,0.616184,1.445878205
NSAMDD0002-56952,Mallee Open Woodlands and Sparse Mallee Shrublands,-34.20481667,142.6025889,14,319,17,32.6,0.025,0.081,1,11.3,67.6,10,32,11,0.483636052,-0.244864926,-10.29139333,0.579560737,1.117490671
NSAMDD0003-56968,Other Shrublands,-34.20754167,142.6040639,14,319,17,32.6,0.025,0.079,1,11.7,65.7,12.1,31,11,0.412247596,0.113191278,-5.14854638,0.48122592,1.109796064
NSAMDD0004-56953,"Chenopod Shrublands, Samphire Shrublands and Forblands",-34.16536667,142.5594,13,317,17,32.5,0.026,0.086,0.9,13.3,66.7,11.4,43,16,0.514233072,-0.367891946,-8.967138659,0.756927336,1.72084124
NSAMDD0005-56969,Mallee Woodlands and Shrublands,-33.65619444,143.2038667,13,310,17.5,33.2,0.022,0.084,0.9,14.3,71.4,19,47,22,0.69743503,-0.878710112,-19.22452722,0.693330855,1.760066454
NSAMDD0006-56954,Other Open Woodlands,-33.66431944,143.1665361,13,308,17.5,33.2,0.031,0.087,0.9,15.8,58.1,7.5,26,16,0.571592277,-0.563036625,-13.22835634,0.667143419,1.501997993
NSAMDD0007-56970,Mallee Woodlands and Shrublands,-33.37998056,141.1608111,10,246,17.6,33.1,0.015,0.063,0.9,14.3,80,18,33,14,0.563712069,0.154567078,-8.267050616,0.797297795,1.851547295
NSAMDD0008-56955,Other Shrublands,-33.43096111,141.0720306,10,245,17.5,33.1,0.018,0.066,0.9,15.2,77.5,19,41,18,0.581396436,-0.592538665,-14.32405847,0.781766529,1.898902092
NSAMDD0009-56971,"Chenopod Shrublands, Samphire Shrublands and Forblands",-33.44049444,141.0655222,11,245,17.5,33,0.019,0.071,0.9,14.7,77.5,13.6,35,12,0.657121707,-0.790747314,-12.89914701,0.293763265,0.758145524
NSAMDD0010-56956,"Chenopod Shrublands, Samphire Shrublands and Forblands",-33.40760278,141.2934722,10,245,17.8,33.3,0.017,0.073,0.9,14.7,77.6,23.3,41,13,0.543164834,-0.471473632,-13.4968699,0.602621151,1.185817727
NSAMDD0011-56981,Mallee Woodlands and Shrublands,-33.43881944,141.012675,10,239,17.6,33.2,0.017,0.082,0.9,14.3,79,24.3,27,7,0.507610289,-0.342520196,-7.283130248,0.53345653,0.896784026
NSAMDD0012-56957,"Chenopod Shrublands, Samphire Shrublands and Forblands",-33.26316111,141.2662444,10,239,17.8,33.3,0.019,0.066,1,14.5,76.2,17.3,2,1,NA,NA,NA,0,0
NSAMDD0013-56982,Mallee Open Woodlands and Sparse Mallee Shrublands,-33.23765278,141.1064667,10,241,17.6,33.1,0.015,0.072,0.9,13.2,79.9,18.6,74,23,0.54402191,-0.47437412,-5.620315534,0.884913427,2.458664819
NSAMDD0014-56963,Mallee Open Woodlands and Sparse Mallee Shrublands,-33.16793889,141.1918167,11,243,17.6,33.1,0.016,0.068,0.9,14.1,81.1,17.1,21,11,0.393667642,0.227678399,-4.137629186,0.638350399,1.382707972
NSAMDD0015-57636,Casuarina Forests and Woodlands,-33.31182222,141.0900639,10,237,17.7,33.2,0.019,0.076,0.9,15.5,72.9,17.2,46,14,0.903309091,-1.205494666,-10.46731235,0.829861111,2.119284237
NSAMDD0016-56973,"Chenopod Shrublands, Samphire Shrublands and Forblands",-33.28228889,141.0898083,11,238,17.7,33.2,0.019,0.076,0.9,14.7,77.4,13.9,45,23,0.590670953,-0.619545487,-15.4231348,0.840232756,2.206920946
NSAMDD0017-57080,"Chenopod Shrublands, Samphire Shrublands and Forblands",-33.66876389,145.5663833,14,391,17.1,32.5,0.034,0.096,1,13.6,60.9,9.8,36,20,0.68356063,-0.849607405,-19.70041823,0.713382265,1.70124087
NSAMDD0018-56976,Mallee Woodlands and Shrublands,-33.56723333,145.7840083,15,406,17.1,32.7,0.025,0.1,1,12.5,68.2,12.2,47,29,0.52657695,-0.413477724,-11.01978761,0.867153781,2.437422117
NSAMDD0019-57081,Tussock Grasslands,-33.19214722,145.6993694,16,385,17.5,33,0.029,0.088,1.1,14.6,57.5,3,38,15,0.480772207,-0.232548306,-6.772123714,0.800112318,1.922321203
NSAMDD0020-56984,Eucalypt Woodlands,-33.20680278,145.7085583,16,385,17.5,33,0.036,0.098,1,14.7,55.9,6.4,33,17,0.60992372,-0.6729861,-14.05044174,0.518322427,1.315265393
NSAMDD0021-57082,Eucalypt Open Woodlands,-33.20083611,145.7171861,16,387,17.6,33,0.033,0.095,1.1,14.8,59.7,5.5,53,21,0.646718973,-0.766268735,-18.11228459,0.809879688,2.071336837
NSAMDD0022-56985,Mallee Woodlands and Shrublands,-33.22522222,145.7601722,16,390,17.5,33,0.033,0.108,1.1,15.2,60.5,8.3,38,18,0.476164586,-0.186341538,-9.037576868,0.706227705,1.643097575
NSAMDD0023-57083,Casuarina Forests and Woodlands,-32.69009167,144.6497778,21,327,18.2,33.8,0.029,0.09,0.9,14.9,61.6,18.8,45,23,0.575245257,-0.574146467,-13.58331194,0.791289206,2.061916137
NSAMDD0024-56986,Acacia Shrublands,-32.68220833,144.6274611,21,325,18.3,33.9,0.03,0.081,0.9,14.4,60.8,14.7,27,14,0.558738321,-0.522788841,-9.810061738,0.533183027,1.266624543
NSAMDD0025-57084,Eucalypt Woodlands,-31.60859167,144.2469944,23,288,19.2,34.7,0.038,0.071,1.2,14.9,65.4,8.7,40,13,0.68362217,-0.849739098,-15.75202503,0.573235753,1.228433751
NSAMDD0026-56987,Acacia Shrublands,-31.62801111,144.2011528,23,288,19.2,34.6,0.035,0.066,1.1,14.9,60,8.1,29,8,0.628142406,-0.720539757,-11.23253025,0.501636876,0.898429306
NSAMDD0027-57087,Acacia Shrublands,-31.48691944,144.1896333,23,296,19,34.6,0.026,0.072,0.9,13.9,65.8,50.4,29,12,0.748451043,-0.976442694,-13.69570824,0.187763101,0.547872666
NSAMDD0028-56988,Other Shrublands,-31.49143889,144.1828167,24,294,19.1,34.6,0.025,0.068,1,13.7,68.3,55.4,44,18,0.662657006,-0.803459097,-15.04860209,0.674889825,1.679614592
NSAMDD0029-57088,Other Shrublands,-31.33251667,144.3669639,26,297,19.4,34.8,0.03,0.061,1.2,13.7,61.7,12.3,38,18,0.739342941,-0.959983119,-18.22875077,0.73011314,1.79061041
NSAMDD0030-56989,Eucalypt Open Woodlands,-31.31792778,144.3637667,26,295,19.4,34.8,0.032,0.064,1.2,14.2,58.8,10.1,39,21,0.640007923,-0.750054787,-12.91913006,0.677500868,1.793305111
NTABRT0001-53616,Acacia Shrublands,-22.2836,133.2473278,60,319,22.4,36.6,0.023,0.043,1.1,14.2,76.6,5.7,33,23,0.497492087,-0.302453202,-8.063422366,0.781395797,1.974257154
NTABRT0002-53617,Acacia Shrublands,-22.28366944,133.2506306,60,319,22.4,36.6,0.023,0.042,1.1,14.5,77.2,6.6,30,19,0.401678085,0.177020367,3.597459925,0.729485314,1.794794696
NTABRT0003-53618,Acacia Shrublands,-22.28358056,133.2698583,60,319,22.4,36.6,0.021,0.04,1.2,15.3,79,5.6,46,20,0.542286143,-0.468490517,-13.49391571,0.665178403,1.542322154
NTABRT0004-53619,Acacia Shrublands,-22.28980833,133.6164222,61,313,22.6,36.9,0.019,0.033,1.3,15.2,78.4,3,46,22,0.773359118,-1.018484505,-30.31902369,0.611548299,1.399319326
NTABRT0005-53620,Hummock Grasslands,-22.29108056,133.612075,61,313,22.6,36.9,0.018,0.036,1.4,14.9,78,3.5,39,18,0.527334583,-0.416206186,-9.615396859,0.702080487,1.725453195
NTABRT0006-53621,Acacia Shrublands,-22.28908056,133.6132556,61,313,22.6,36.9,0.02,0.039,1.3,15.1,78.2,3.5,52,18,0.578862307,-0.585008919,-10.59562332,0.543757356,1.334100816
NTADAC0001-53518,Tropical Eucalypt Woodlands/Grasslands,-13.15835,130.7779111,104,1437,26.4,34.8,0.017,0.084,1,15.4,78.7,12,64,17,0.416153888,0.090421834,-1.753045943,0.801828716,2.012780402
NTAFIN0001-53519,Tussock Grasslands,-24.12430278,133.4679222,39,263,21,37,0.017,0.033,1.4,15.3,81.8,21.7,44,15,0.630143278,-0.725594747,-1.163727415,0.83985368,2.180598144
NTAFIN0002-53622,Acacia Open Woodlands,-24.00942222,133.4343111,38,272,20.8,36.7,0.015,0.032,1,15.2,83.1,118.1,44,28,0.461131383,-0.146921963,-9.494470174,0.849296299,2.309873291
NTAFIN0003-53623,Eucalypt Woodlands,-24.13220278,133.4770083,38,261,21,37,0.019,0.034,1.4,15.4,78.8,13.1,42,10,0.526800063,-0.414282021,-7.802247321,0.628804665,1.33534697
NTAFIN0004-53624,Acacia Shrublands,-24.18724167,133.3763667,36,268,20.9,36.7,0.015,0.03,0.5,14.1,88.8,113.9,41,17,0.446280184,-0.071790627,-2.059672033,0.772169702,1.910361917
NTAFIN0005-53625,Acacia Shrublands,-24.1965,133.3739361,37,258,21.2,37,0.017,0.032,0.5,14.6,84.9,100.9,55,17,0.42927943,0.018931753,-0.866652746,0.85295659,2.195038792
NTAFIN0006-53626,Hummock Grasslands,-24.17759167,133.3794028,38,260,21.1,36.9,0.017,0.029,1.1,14.5,84,99.5,29,4,NA,NA,NA,0.58,1.088899975
NTAFIN0007-53627,"Chenopod Shrublands, Samphire Shrublands and Forblands",-23.94118611,133.4360389,38,282,20.7,36.7,0.015,0.033,1.2,14.6,73.5,18.4,28,15,0.937470662,-1.245835384,-8.74156768,0.88233812,2.3764086
NTAFIN0008-53628,Acacia Shrublands,-23.930625,133.4154944,39,275,20.8,36.7,0.015,0.037,1.1,16.4,73.1,18.3,25,5,NA,NA,NA,0.453402367,0.885812903
NTAFIN0009-53629,Acacia Shrublands,-24.12801944,133.3908944,37,268,20.9,36.8,0.015,0.028,1.2,14.8,85.6,26.7,38,11,0.640692275,-0.751723745,-9.495183922,0.678049941,1.54897597
NTAFIN0010-53630,Tussock Grasslands,-24.13329167,133.3732972,36,265,21,36.8,0.017,0.031,1.2,15.3,81,27.8,37,15,0.89410596,-1.194099728,-13.22618011,0.718867139,1.851734981
NTAFIN0011-53631,Acacia Shrublands,-24.16188056,133.3271806,36,269,20.9,36.7,0.016,0.036,0.7,15,82.3,99.3,37,19,0.42716695,0.028469657,-6.112852886,0.841729079,2.109659821
NTAFIN0012-53632,Tussock Grasslands,-24.56922778,133.1420972,40,247,21.3,37.1,0.018,0.029,0.7,15,77.4,67.8,26,8,0.509979241,0.746940947,-5.679826941,0.700719685,1.413617503
NTAFIN0013-53633,Eucalypt Open Woodlands,-24.54153611,133.1845722,38,240,21.5,37.2,0.019,0.033,0.8,14.9,83.1,17,60,28,0.716406734,-0.916680319,-23.13275965,0.660739652,1.828359512
NTAFIN0014-53634,Hummock Grasslands,-24.53091111,133.1695417,38,242,21.5,37.2,0.019,0.029,0.8,14.2,81.2,14.6,51,20,0.699639971,-0.883228835,-25.50882991,0.631726679,1.540653727
NTAFIN0015-53635,Eucalypt Open Woodlands,-24.51569722,133.222825,38,241,21.5,37.2,0.029,0.038,0.8,14.3,63.6,13.8,23,6,0.397218838,0.898115668,-2.080375314,0.513102391,0.980503384
NTAFIN0016-53636,Tussock Grasslands,-24.48436389,133.3029667,38,243,21.4,37.1,0.019,0.034,0.5,16.4,74.4,60.5,36,10,0.684279348,-0.851143959,-13.2186592,0.288141685,0.682017351
NTAFIN0017-53637,Eucalypt Open Woodlands,-24.37748611,132.9602861,37,255,21.5,37.1,0.02,0.037,0.8,14.7,77.5,25.9,33,6,0.389011528,0.258082526,-4.860748266,0.623030824,1.08551368
NTAFIN0018-53638,Other Shrublands,-24.36466389,132.9494417,37,256,21.5,37.1,0.022,0.037,0.5,15.7,73.3,28.2,55,27,0.640812305,-0.752016099,-17.12830825,0.833894834,2.359458527
NTAFIN0019-53639,Acacia Open Woodlands,-24.35817778,132.9357472,37,257,21.4,37.1,0.022,0.036,0.8,15.3,75.1,24.9,66,23,0.810283337,-1.078399223,-30.92247376,0.490721057,1.155482387
NTAFIN0020-53640,Casuarina Forests and Woodlands,-24.66856944,133.4016861,38,232,21.4,37.2,0.019,0.031,0.5,15.4,77.4,42,46,18,0.713497892,-0.91098956,-29.70816689,0.753820302,1.639415935
NTAFIN0021-53641,Tussock Grasslands,-24.67201667,133.4638722,40,226,21.5,37.3,0.021,0.029,0.7,15.6,80.6,21.5,36,10,0.607651336,-0.666854886,-6.951930588,0.755593132,1.648710263
NTAFIN0022-53642,Other Shrublands,-24.63118889,133.4521833,38,229,21.5,37.2,0.021,0.028,0.7,15.2,79.1,18.9,62,19,0.644115597,-0.760019057,-12.98014886,0.709840695,1.829639424
NTAFIN0023-53643,Mallee Open Woodlands and Sparse Mallee Shrublands,-24.55977222,133.4373639,39,235,21.4,37.2,0.019,0.031,0.9,14.7,80.3,13.6,45,18,0.618182967,-0.69489137,-16.56356365,0.624706476,1.453331424
NTAFIN0024-53644,Eucalypt Open Woodlands,-24.91757222,133.6592028,35,206,21.6,37.4,0.022,0.031,0.8,15.1,87.6,46.9,34,11,0.500681022,-0.315255859,-4.304298964,0.648711582,1.385074358
NTAFIN0025-53645,Other Shrublands,-24.81836389,133.6764556,37,212,21.5,37.3,0.019,0.032,0.5,14.7,75.8,46.9,52,24,0.508007075,-0.344058901,-0.443830546,0.896632333,2.587396004
NTAFIN0026-53646,Acacia Shrublands,-23.90725556,133.7499056,40,281,20.8,36.8,0.014,0.035,1.2,15,76.6,17.1,53,27,0.618393473,-0.69544203,-21.67809338,0.794778007,2.099800745
NTAFIN0027-53647,Tussock Grasslands,-23.83572778,133.6333028,40,283,20.7,36.7,0.017,0.035,0.6,14.6,75.2,36.6,34,14,0.645029151,-0.762217922,-17.69081701,0.58810975,1.212891837
NTAFIN0028-53746,"Chenopod Shrublands, Samphire Shrublands and Forblands",-25.76993056,133.3930806,45,244,20.7,36.1,0.016,0.03,0.5,15,75,10.2,46,15,0.706513563,-0.897134433,-11.3081551,0.778214025,1.912939106
NTAFIN0029-53747,Tussock Grasslands,-25.737475,133.4384833,44,241,20.7,36.2,0.018,0.03,0.5,15.3,81.8,10.5,42,16,0.618622854,-0.696041637,-9.758104298,0.691342199,1.718308285
NTAFIN0030-53748,Acacia Shrublands,-25.94810833,133.7812444,42,219,20.8,36.4,0.019,0.03,0.6,15.5,76.2,17.7,58,19,0.680155978,-0.842284441,-24.54977043,0.526639211,1.288698104
NTAFIN0031-53749,Other Shrublands,-25.89989167,133.8965944,42,210,20.9,36.6,0.023,0.033,0.3,15.7,70.5,41,49,23,0.73368103,-0.949545297,-15.91897882,0.86750091,2.459667543
NTAFIN0032-53750,Acacia Shrublands,-23.95376667,133.92255,41,271,20.9,37,0.016,0.034,1.2,14.7,76.2,15.2,38,24,0.561009757,-0.53003523,-15.46317391,0.868881537,2.322595021
NTAFIN0033-53751,Acacia Open Woodlands,-24.03365833,133.9717556,40,271,20.8,36.9,0.015,0.034,1,14.5,81.8,38.8,62,22,0.534976499,-0.443294435,-13.51219704,0.851473157,2.251212677
NTAGFU0001-53648,Mallee Open Woodlands and Sparse Mallee Shrublands,-18.90550556,137.0692639,105,431,25.4,37.6,0.027,0.051,0.7,15.7,62.6,17.8,81,30,0.516105217,-0.374946061,-11.21313897,0.901530896,2.612638008
NTAGFU0002-53649,Eucalypt Woodlands,-18.91811944,137.0522389,105,431,25.4,37.6,0.025,0.048,0.6,16.4,63.5,31,49,18,0.669525149,-0.81893955,-22.61750411,0.575503458,1.318484646
NTAGFU0003-53650,Eucalypt Woodlands,-18.63436944,137.1244389,104,481,25.1,37,0.023,0.048,0.6,15.7,75.6,27.9,60,13,0.540055491,-0.460873806,-13.46799925,0.652010765,1.328044886
NTAGFU0004-53651,Hummock Grasslands,-18.62405556,137.12345,104,486,25.1,36.9,0.015,0.039,0.7,15.5,81.8,27.4,59,15,0.696051408,-0.875859931,-11.5295289,0.338099206,0.938685028
NTAGFU0005-53652,Eucalypt Woodlands,-18.65319167,137.1211417,105,477,25.2,37.1,0.019,0.044,0.6,15.6,81.6,41.3,93,26,0.570414307,-0.559423714,-22.3678501,0.750868537,1.912123727
NTAGFU0006-53653,Eucalypt Woodlands,-18.77869167,136.8470722,104,439,25.3,37.5,0.02,0.043,0.7,16.2,77.2,22.3,106,29,0.484652033,-0.249199349,-9.861349049,0.850924013,2.340318288
NTAGFU0007-53654,Hummock Grasslands,-18.77691389,136.8262028,104,438,25.3,37.5,0.027,0.056,0.7,15.7,62,32.2,58,9,0.733727625,-0.256484643,-16.63791894,0.202304713,0.460434781
NTAGFU0008-53655,Hummock Grasslands,-18.786075,136.8653389,104,439,25.3,37.3,0.023,0.045,0.7,15.7,72.7,15.8,51,14,0.501015235,-0.316588136,-9.630941558,0.723173776,1.66737014
NTAGFU0009-53656,Eucalypt Woodlands,-18.800975,136.983425,105,442,25.4,37.5,0.021,0.046,0.8,15.5,71.5,6.6,71,20,0.578999254,-0.585417478,-21.39834252,0.769809064,1.837352857
NTAGFU0010-53657,Eucalypt Woodlands,-17.89627778,137.1006028,111,599,25.6,36.5,0.022,0.05,0.8,15.7,59.6,17.3,37,6,0.459155087,-0.134622009,-8.617330263,0.445343284,0.694065516
NTAGFU0011-53658,Mallee Woodlands and Shrublands,-17.89570556,137.0723639,110,597,25.6,36.5,0.027,0.052,0.9,15.9,59.6,11.9,77,29,0.497429687,-0.30220105,-15.17106755,0.885192879,2.486377044
NTAGFU0012-53659,Eucalypt Woodlands,-17.89564167,137.0189944,110,597,25.5,36.5,0.025,0.052,0.8,16.4,62.7,23.9,57,18,0.489129164,-0.268085674,-11.9896925,0.779619986,1.862736275
NTAGFU0013-53660,Melaleuca Forests and Woodlands,-17.89590833,137.011625,109,596,25.5,36.5,0.02,0.048,0.8,16.3,73.2,31.5,79,30,0.524291795,-0.405200581,-16.29097434,0.850760675,2.277804666
NTAGFU0014-53661,Eucalypt Woodlands,-17.75178889,136.9389,109,614,25.6,36.5,0.018,0.051,0.9,16,59,11.9,62,19,0.519678625,-0.388269266,-8.22505553,0.812912558,2.05413574
NTAGFU0015-53662,Mallee Woodlands and Shrublands,-17.74446111,136.94305,110,617,25.6,36.5,0.018,0.044,0.9,16,72.9,10.8,65,18,0.527112629,-0.415407645,-14.11434837,0.631117722,1.479846513
NTAGFU0016-53663,Melaleuca Forests and Woodlands,-17.22088611,137.2602583,114,752,25.8,35.7,0.017,0.038,0.7,15.5,78.4,35.8,61,18,0.490160462,-0.271396554,-10.49151335,0.708101295,1.678054399
NTAGFU0017-53664,Melaleuca Forests and Woodlands,-17.35489722,137.1579611,113,716,25.6,35.8,0.017,0.04,0.7,15.3,80.4,22.8,82,32,0.438609263,-0.032601823,3.467655168,0.851908099,2.517176972
NTAGFU0018-53665,Acacia Forests and Woodlands,-17.27248611,137.1834139,113,740,25.6,35.7,0.023,0.05,0.6,15.5,81.6,61,31,12,0.496373086,-0.297921767,-11.70627548,0.578815375,1.122705563
NTAGFU0019-53666,Eucalypt Woodlands,-17.21774167,137.2362917,114,746,25.8,35.7,0.022,0.056,0.6,15.6,75.7,79.3,87,32,0.551883264,-0.500558068,-22.28216682,0.874680832,2.481616843
NTAGFU0020-53667,Melaleuca Forests and Woodlands,-16.724875,135.96335,112,676,26.8,38.1,0.02,0.057,0.9,16.1,67.1,60.1,86,25,0.505355662,-0.333731089,-16.17026544,0.778087102,1.851231226
NTAGFU0021-53668,Melaleuca Forests and Woodlands,-16.71540278,135.9429222,111,684,26.6,38,0.022,0.069,0.7,16.5,68.6,107.9,73,16,0.451944861,-0.099876065,-10.30751072,0.761757431,1.737023272
NTAGFU0022-53669,Eucalypt Woodlands,-16.73101389,135.9634083,112,675,26.9,38.1,0.024,0.064,0.9,15.8,68,112.7,44,11,0.52114354,-0.393678265,-11.69248916,0.51688064,1.032026185
NTAGFU0023-53670,Other Shrublands,-16.82389444,135.8300389,111,675,26.2,37.7,0.012,0.045,1,15.6,83.9,8.3,30,18,0.377402558,0.337155146,-0.296010788,0.812633059,2.031109918
NTAGFU0024-53671,Eucalypt Woodlands,-16.82600278,135.8932111,111,678,26.2,37.6,0.017,0.049,0.8,15.6,72.5,20.5,36,14,0.449775015,-0.08920161,-8.02391957,0.689238991,1.59063662
NTAGFU0025-53672,Melaleuca Forests and Woodlands,-16.82524167,135.8551806,111,676,26.2,37.6,0.021,0.056,1,15.3,66.9,10,49,16,0.475667011,-0.210224409,-15.20787182,0.664706989,1.366345221
NTAGFU0026-53673,Eucalypt Woodlands,-15.80912222,135.4060694,113,780,27.3,38,0.016,0.055,1,16.1,70.4,21.2,68,24,0.417788959,0.081017508,-1.644087627,0.857048562,2.306124296
NTAGFU0027-53674,Eucalypt Woodlands,-15.679275,135.4606139,114,809,27.3,37.9,0.02,0.054,0.8,14.9,80.2,93.2,71,30,0.501246394,-0.317508604,-9.031652453,0.824963237,2.351638336
NTAGFU0028-53675,Eucalypt Woodlands,-15.62923889,135.4597556,114,821,27.2,37.6,0.027,0.082,0.6,14.4,82.4,107.6,79,28,0.545845502,-0.480515198,-19.69363562,0.841940035,2.332405475
NTAGFU0029-53676,Eucalypt Woodlands,-15.5381,135.4090222,114,824,27.4,37.8,0.014,0.059,0.9,14.5,76.2,38.1,75,31,0.494188227,-0.289014942,-13.58314494,0.864845401,2.439564446
NTAGFU0030-53677,Acacia Forests and Woodlands,-14.13489722,134.3778333,114,969,27.2,37.4,0.024,0.057,0.7,15.3,67.2,18.5,77,25,0.633317593,-0.73354882,-20.46403288,0.586084273,1.32037813
NTAGFU0031-53678,Melaleuca Forests and Woodlands,-14.12585556,134.3866778,113,973,27.2,37.4,0.02,0.059,0.9,16.1,71.5,32,53,23,0.487794872,-0.262493326,-9.279207697,0.805001486,2.072692946
